trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
534537020,27,1,"North to Galleria Mall",,1,84706302,shp-27-51,0,0,01306
534538020,27,1,"North to Galleria Mall",,1,84709802,shp-27-51,0,0,02703
534539020,27,1,"North to Galleria Mall",,1,84703802,shp-27-51,0,0,02705
534540020,27,1,"North to Galleria Mall",,1,84706702,shp-27-51,0,0,02704
534826020,28,1,"West to Perris Station Transit Center",,0,84692202,shp-28-51,0,0,02201
534827020,28,1,"West to Perris Station Transit Center",,0,84693302,shp-28-52,0,0,02801
534828020,28,1,"West to Perris Station Transit Center",,0,84694302,shp-28-52,0,0,02803
534829020,28,1,"West to Perris Station Transit Center",,0,84702502,shp-28-52,0,0,02804
534830020,28,1,"West to Perris Station Transit Center",,0,84694302,shp-28-52,0,0,02803
534831020,28,1,"West to Perris Station Transit Center",,0,84708602,shp-28-52,0,0,02806
534832020,28,1,"West to Perris Station Transit Center",,0,84693302,shp-28-52,0,0,02801
534833020,28,1,"West to Perris Station Transit Center",,0,84710502,shp-28-52,0,0,02807
534834020,28,1,"West to Perris Station Transit Center",,0,84709902,shp-28-52,0,0,02810
534835020,28,1,"West to Perris Station Transit Center",,0,84710602,shp-28-52,0,0,02809
534836020,28,1,"West to Perris Station Transit Center",,0,84709902,shp-28-52,0,0,02810
534837020,28,1,"West to Perris Station Transit Center",,0,84710102,shp-28-52,0,0,02808
534838020,28,1,"West to Perris Station Transit Center",,0,84709902,shp-28-52,0,0,02810
534849020,28,1,"West to Perris Station Transit Center",,0,84692302,shp-28-52,0,0,01902
534850020,28,1,"West to Perris Station Transit Center",,0,84698502,shp-28-52,0,0,02802
534851020,28,1,"West to Perris Station Transit Center",,0,84693302,shp-28-52,0,0,02801
534852020,28,1,"West to Perris Station Transit Center",,0,84710402,shp-28-52,0,0,02805
534853020,28,1,"West to Perris Station Transit Center",,0,84694302,shp-28-52,0,0,02803
534854020,28,1,"West to Perris Station Transit Center",,0,84710102,shp-28-52,0,0,02808
534855020,28,1,"West to Perris Station Transit Center",,0,84710502,shp-28-52,0,0,02807
534856020,28,1,"West to Perris Station Transit Center",,0,84710602,shp-28-52,0,0,02809
534857020,28,1,"West to Perris Station Transit Center",,0,84710202,shp-28-52,0,0,02811
534859020,28,1,"West to Perris Station Transit Center",,0,84692102,shp-28-51,0,0,01901
534814020,28,1,"East to Hemet Florida & Lincoln",,1,84693302,shp-28-01,0,0,02801
534815020,28,1,"East to Hemet Florida & Lincoln",,1,84694302,shp-28-01,0,0,02803
534816020,28,1,"East to Hemet Florida & Lincoln",,1,84702502,shp-28-01,0,0,02804
